,sq_mt_built,n_rooms,n_bathrooms,n_floors,buy_price,is_renewal_needed,is_new_development,house_type_id_HouseType 1: Pisos,house_type_id_HouseType 2: Casa o chalet,house_type_id_HouseType 4: Dúplex,house_type_id_HouseType 5: Áticos
0,64.0,2,1.0,1.0,85000,False,False,1,0,0,0
1,70.0,3,1.0,1.0,129900,True,False,1,0,0,0
2,94.0,2,2.0,1.0,144247,False,False,1,0,0,0
3,64.0,2,1.0,1.0,109900,False,False,1,0,0,0
4,108.0,2,2.0,1.0,260000,False,False,1,0,0,0
5,126.0,4,2.0,1.0,195000,False,False,1,0,0,0
6,120.0,5,2.0,1.0,190000,False,False,1,0,0,0
7,125.0,3,2.0,1.0,198500,False,False,1,0,0,0
8,84.0,3,2.0,1.0,212000,False,False,1,0,0,0
9,85.0,2,1.0,1.0,131400,True,False,1,0,0,0
10,69.0,2,2.0,1.0,118000,True,False,1,0,0,0
11,122.0,3,2.0,1.0,246900,False,False,1,0,0,0
12,123.0,3,2.0,1.0,195000,False,False,1,0,0,0
13,109.0,3,2.0,1.0,205000,False,False,1,0,0,0
14,64.0,3,1.0,1.0,72000,False,False,1,0,0,0
15,115.0,3,1.0,1.0,160000,False,False,1,0,0,0
16,115.0,3,1.0,1.0,184900,False,False,1,0,0,0
17,65.0,3,1.0,1.0,90000,False,False,1,0,0,0
18,75.0,3,1.0,1.0,129900,True,False,1,0,0,0
19,60.0,2,1.0,1.0,94900,False,False,1,0,0,0
20,60.0,2,1.0,1.0,89900,False,False,1,0,0,0
21,95.0,4,2.0,1.0,144900,False,False,1,0,0,0
22,76.0,3,1.0,1.0,110000,True,False,1,0,0,0
23,51.0,2,1.0,1.0,93000,False,False,1,0,0,0
24,134.0,3,2.0,1.0,130000,False,False,1,0,0,0
26,75.0,3,1.0,1.0,138000,False,False,1,0,0,0
27,112.0,4,2.0,1.0,280000,False,False,1,0,0,0
28,65.0,3,1.0,1.0,150000,True,False,1,0,0,0
29,70.0,2,1.0,1.0,145900,False,False,1,0,0,0
31,123.0,3,2.0,1.0,298000,False,False,1,0,0,0
33,72.0,2,1.0,1.0,138000,False,False,1,0,0,0
34,61.0,3,1.0,1.0,100000,False,False,1,0,0,0
35,71.0,3,1.0,1.0,131400,True,False,1,0,0,0
36,87.0,3,1.0,1.0,96000,True,False,1,0,0,0
37,60.0,2,1.0,1.0,154000,False,False,1,0,0,0
40,125.0,3,3.0,1.0,275000,False,False,0,0,1,0
